"Package","Version"
"cli","3.6.6"
"codetools","0.2-20"
"cpp11","0.5.5"
"farver","2.1.2"
"foreach","1.5.2"
"ggplot2","4.0.3"
"glmnet","5.0"
"glue","1.8.1"
"gtable","0.3.6"
"here","1.0.2"
"isoband","0.3.0"
"iterators","1.0.14"
"jsonlite","2.0.0"
"labeling","0.4.3"
"lattice","0.23-1"
"lifecycle","1.0.5"
"MASS","7.3-66"
"Matrix","1.7-6"
"png","0.1-9"
"R6","2.6.1"
"rappdirs","0.3.4"
"RColorBrewer","1.1-3"
"Rcpp","1.1.2"
"RcppArmadillo","15.6.0-1"
"RcppEigen","0.3.4.0.2"
"RcppTOML","0.2.3"
"reticulate","1.47.0"
"rlang","1.3.0"
"rprojroot","2.1.1"
"rrpack","0.1-14"
"S7","0.2.2"
"scales","1.4.0"
"shape","1.4.6.1"
"survival","3.8-12"
"vctrs","0.7.3"
"viridisLite","0.4.3"
"withr","3.0.3"
"base","4.4.3"
"compiler","4.4.3"
"datasets","4.4.3"
"graphics","4.4.3"
"grDevices","4.4.3"
"grid","4.4.3"
"methods","4.4.3"
"parallel","4.4.3"
"splines","4.4.3"
"stats","4.4.3"
"stats4","4.4.3"
"tcltk","4.4.3"
"tools","4.4.3"
"utils","4.4.3"
