rd_seed_id,seed
0,2103139804
1,2097446776
2,2121586239
3,816464123
4,367992409
5,1982656189
6,225255238
7,561980200
8,298028865
9,685255714
10,1151155068
11,253598991
12,1709091010
13,519189160
14,1688041804
15,684046402
16,1704011245
17,2070344413
18,2057996156
19,566183642
20,1193176983
21,947053435
22,547003392
23,1309687589
24,1926505261
25,1854612611
26,1387222073
27,1854905472
28,1113402597
29,1449296583
30,2051021141
31,1417069370
32,101487543
33,1580027625
34,1586287864
35,478359837
36,1862054947
37,369509317
38,1693758289
39,1869201919
40,1036897054
41,129146783
42,348608485
43,1468210751
44,89257227
45,1441472669
46,300078609
47,1312151122
48,1178406769
49,129143895
50,383297718
51,2099743525
52,866354994
53,942641440
54,973428785
55,1143739098
56,414567853
57,6726535
58,1386703661
59,539591999
60,1412280717
61,1843594175
62,925365952
63,913321254
64,377934397
65,1580159256
66,1500877065
67,1980072729
68,1666370531
69,329583272
70,1725467126
71,2130860468
72,768001753
73,391554521
74,1829539479
75,2018877083
76,2093573588
77,186579939
78,1887561680
79,1005474853
80,927209518
81,1780240750
82,1943969432
83,603555138
84,1632314064
85,1866359807
86,1858296263
87,2096838625
88,707707778
89,1807566314
90,913214295
91,963948716
92,1626547649
93,795660793
94,1617523540
95,1036524722
96,17296264
97,197958364
98,1640198371
99,486798260
