rd_id,seed
0,15795
1,860
2,76820
3,54886
4,6265
5,82386
6,37194
7,87498
8,44131
9,60263
10,16023
11,41090
12,67221
13,64820
14,769
15,59735
16,62955
17,64925
18,67969
19,5311
20,83104
21,53707
22,85305
23,28693
24,71932
25,93016
26,25658
27,84478
28,18431
29,2747
30,59150
31,65725
32,84654
33,35773
34,67435
35,56886
36,66803
37,31551
38,11394
39,69092
40,3890
41,41606
42,96276
43,80038
44,87313
45,10627
46,8792
47,73969
48,43001
49,76552
50,23897
51,68148
52,23483
53,48555
54,17159
55,80077
56,35920
57,92067
58,67121
59,69479
60,89475
61,19457
62,66557
63,77189
64,78953
65,52995
66,40757
67,9692
68,45758
69,72409
70,71211
71,65697
72,37065
73,92093
74,99299
75,32606
76,11534
77,94663
78,40397
79,91387
80,1016
81,89789
82,55591
83,89812
84,23247
85,24300
86,74065
87,82798
88,9268
89,86807
90,12185
91,63704
92,86779
93,39099
94,8571
95,38044
96,51214
97,61228
98,48984
99,40774
